size,throughput
16,9.60e-02
32,9.60e-02
48,8.47e-02
64,6.40e-02
80,5.85e-02
96,5.05e-02
112,5.51e-02
128,5.19e-02
144,4.85e-02
160,4.80e-02
176,6.68e-02
192,6.78e-02
208,4.49e-02
224,5.89e-02
240,5.71e-02
256,6.10e-02
272,5.63e-02
288,5.27e-02
304,5.07e-02
320,5.36e-02
336,4.69e-02
352,4.14e-02
368,4.97e-02
384,4.97e-02
400,2.90e-02
416,3.73e-02
432,3.77e-02
448,2.62e-02
464,3.68e-02
480,3.34e-02
496,3.29e-02
512,3.12e-02
528,3.47e-02
544,3.32e-02
560,3.26e-02
576,3.07e-02
592,2.98e-02
608,2.88e-02
624,2.94e-02
640,2.81e-02
656,1.91e-02
672,2.74e-02
688,2.58e-02
704,2.52e-02
720,2.48e-02
736,2.39e-02
752,2.44e-02
768,2.28e-02
784,2.25e-02
800,2.23e-02
816,2.18e-02
832,2.15e-02
848,2.13e-02
864,2.13e-02
880,2.08e-02
896,2.08e-02
912,2.04e-02
928,2.07e-02
944,2.00e-02
960,1.97e-02
976,1.98e-02
992,1.98e-02
1008,1.80e-02